FFT: Time - Frequency (Hz),FFT: Acceleration 2 - FFT,FFT 2: Acceleration 1 - FFT
5.1953125,0.07231774,0.220699698
5.21484375,0.049037158,0.214430725
5.234375,0.003022462,0.142550607
5.25390625,0.03025503,0.056731601
5.2734375,0.01985108,0.006142136
5.29296875,0.011992798,0.010491505
5.3125,0.014976365,0.010257357
5.33203125,0.022678144,0.018487872
5.3515625,0.034124395,0.019301246
5.37109375,0.036979671,0.016336761
5.390625,0.020316459,0.007312338
5.41015625,0.009372939,0.012572816
5.4296875,0.020771542,0.029952825
5.44921875,0.007103043,0.021637777
5.46875,0.008382164,0.021145788
5.48828125,0.00371077,0.032883169
5.5078125,0.010051311,0.01896492
5.52734375,0.014816546,0.049579072
5.546875,0.018210845,0.126023803
5.56640625,0.060164552,0.210644745
5.5859375,0.095706047,0.26813073
5.60546875,0.081004419,0.271423683
5.625,0.033872794,0.192954117
5.64453125,0.010956598,0.077988327
5.6640625,0.012181493,0.035842693
5.68359375,0.023294795,0.049088824
5.703125,0.020280609,0.043355522
5.72265625,0.008767365,0.033720964
5.7421875,0.007232836,0.042411403
5.76171875,0.00519191,0.048688422
5.78125,0.005320382,0.029377649
5.80078125,0.013494364,0.023394101
5.8203125,0.008620666,0.028949723
5.83984375,0.013654879,0.045717782
5.859375,0.027320438,0.032130326
5.87890625,0.025433264,0.023623128
5.8984375,0.012869085,0.013576387
5.91796875,0.003195139,0.016295323
5.9375,0.023977969,0.010486669
5.95703125,0.040145021,0.054094465
5.9765625,0.037718179,0.107370108
5.99609375,0.021622012,0.119167408
6.015625,0.011977767,0.084517853
6.03515625,0.014671066,0.025825157
6.0546875,0.008513185,0.045102865
6.07421875,0.006219625,0.071998171
6.09375,0.018517507,0.052975749
6.11328125,0.02966287,0.030814137
6.1328125,0.030564353,0.040239326
6.15234375,0.018989742,0.03070103
6.171875,0.004985068,0.012890894
6.19140625,0.009006124,0.052117985
6.2109375,0.011762013,0.051651233
6.23046875,0.009622328,0.03359743
6.25,0.010057958,0.02099794
6.26953125,0.017213523,0.002681129
6.2890625,0.020957468,0.021052119
6.30859375,0.019261229,0.039790014
6.328125,0.015007474,0.029350786
6.34765625,0.017490798,0.00790806
6.3671875,0.017350377,0.037883716
6.38671875,0.012615782,0.04287454
6.40625,0.013390644,0.039340123
6.42578125,0.006748325,0.038605502
6.4453125,0.006900722,0.035756519
6.46484375,0.001936391,0.021901371
6.484375,0.018319811,0.009275743
6.50390625,0.035684586,0.025353352
6.5234375,0.047038591,0.035568626
6.54296875,0.04610566,0.039270422
6.5625,0.035088225,0.015262241
6.58203125,0.027575697,0.017076824
6.6015625,0.02639715,0.013342698
6.62109375,0.026665767,0.015604272
6.640625,0.018570116,0.027320427
6.66015625,0.006134911,0.029129524
6.6796875,0.010349074,0.026551191
6.69921875,0.004697725,0.023480446
6.71875,0.006083341,0.016212615
6.73828125,0.010048106,0.016914718
6.7578125,0.009208692,0.026819167
6.77734375,0.011955971,0.022590576
6.796875,0.01735698,0.010915933
6.81640625,0.017542662,0.010198479
6.8359375,0.015503312,0.003172305
6.85546875,0.012009904,0.011964378
6.875,0.005531843,0.019147368
6.89453125,0.014986364,0.009894052
6.9140625,0.019912824,0.025082546
6.93359375,0.015466497,0.042261993
6.953125,0.003593983,0.031045093
6.97265625,0.009443831,0.028239678
6.9921875,0.01486759,0.028021498
7.01171875,0.011614232,0.016426985
7.03125,0.008206647,0.025398613
7.05078125,0.00843522,0.044982322
7.0703125,0.005125593,0.051722122
7.08984375,0.01032619,0.041614434
7.109375,0.011228083,0.027086769
7.12890625,0.006456652,0.009365358
7.1484375,0.002004839,0.011559772
7.16796875,0.006900802,0.022753212
7.1875,0.01032988,0.025403581
7.20703125,0.010850968,0.015923292
7.2265625,0.007934197,0.005710756
7.24609375,0.001870683,0.0097311
7.265625,0.006667883,0.01124825
7.28515625,0.012869542,0.011194559
7.3046875,0.011595465,0.013632787
7.32421875,0.00736164,0.015031418
7.34375,0.006334734,0.010438716
7.36328125,0.007720513,0.013322423
7.3828125,0.013897884,0.014889058
7.40234375,0.011826216,0.017482733
7.421875,0.013880922,0.023427972
7.44140625,0.017172141,0.020993514
7.4609375,0.017198732,0.021960349
7.48046875,0.01511929,0.022826609
7.5,0.010747515,0.0144703
7.51953125,0.013229503,0.009454694
7.5390625,0.016620475,0.007198092
7.55859375,0.015611694,0.007037451
7.578125,0.011217099,0.006035194
7.59765625,0.00662215,0.006721499
7.6171875,0.008871601,0.012485479
7.63671875,0.007188899,0.011359658
7.65625,0.001018187,0.005210428
7.67578125,0.006127429,0.007683433
7.6953125,0.007860868,0.007106278
7.71484375,0.006336596,0.000806744
7.734375,0.004197536,0.008208195
7.75390625,0.003614282,0.014919893
7.7734375,0.008724573,0.019722531
7.79296875,0.010960957,0.021454709
7.8125,0.007532049,0.016520463
7.83203125,0.007164799,0.020746356
7.8515625,0.009441285,0.033708373
7.87109375,0.007731535,0.032502163
7.890625,0.001986927,0.021377113
7.91015625,0.003947134,0.009348381
7.9296875,0.006006618,0.008971287
7.94921875,0.001819521,0.011584715
7.96875,0.006076478,0.014468727
7.98828125,0.008715039,0.009377848
8.0078125,0.003448055,0.006167688
8.02734375,0.0028313,0.009614025
8.046875,0.003651995,0.006555535
8.06640625,0.001531992,0.003616779
8.0859375,0.001048994,0.005733328
8.10546875,0.002010331,0.008047943
8.125,0.0025221,0.002878126
8.14453125,0.001594439,0.002835429
8.1640625,0.001311283,0.001226274
8.18359375,0.00203072,0.002320277
8.203125,0.001483253,0.001572324
8.22265625,0.002391894,0.007802504
8.2421875,0.001996305,0.015678331
8.26171875,0.001011337,0.016242334
8.28125,0.001368628,0.009805961
8.30078125,0.001948865,0.004147145
8.3203125,0.00529017,0.003503808
8.33984375,0.005636257,0.003243325
8.359375,0.004130004,0.003180225
8.37890625,0.003260634,0.004321398
8.3984375,0.002961791,0.00225662
8.41796875,0.002340303,0.004277782
8.4375,0.000337552,0.010824265
8.45703125,0.00315652,0.011620051
8.4765625,0.00510129,0.007503214
8.49609375,0.004417831,0.005232051
8.515625,0.00248593,0.00506926
8.53515625,0.001738006,0.003081691
8.5546875,0.003119704,0.003372069
8.57421875,0.003142409,0.005925339
8.59375,0.001930788,0.002577666
8.61328125,0.001223127,0.006496304
8.6328125,0.00106969,0.008752991
8.65234375,0.001496222,0.006938036
8.671875,0.002393523,0.00590192
8.69140625,0.001645154,0.0066842
8.7109375,0.003817876,0.005902466
8.73046875,0.005798031,0.002573335
8.75,0.005536847,0.00351708
8.76953125,0.004242615,0.007148351
8.7890625,0.00311572,0.007310553
8.80859375,0.001970689,0.005298791
8.828125,0.00144827,0.005234429
8.84765625,0.001354631,0.004128266
8.8671875,0.001221833,0.001771346
8.88671875,0.000433139,0.003856417
8.90625,0.002571797,0.004942152
8.92578125,0.00262806,0.006421902
8.9453125,0.000850648,0.007306819
8.96484375,0.001478821,0.006236773
8.984375,0.002299856,0.004084845
9.00390625,0.002212535,0.002128466
9.0234375,0.001802714,0.001966336
9.04296875,0.001592805,0.002960064
9.0625,0.001016907,0.003461992
9.08203125,0.000329517,0.001875167
9.1015625,0.001338319,0.000818304
9.12109375,0.001435693,0.001052284
9.140625,0.000657313,0.000982952
9.16015625,0.000807716,0.000922947
9.1796875,0.001342566,0.001137952
9.19921875,0.001184932,0.001805256
9.21875,0.000635547,0.001137509
9.23828125,0.000295514,0.000349803
9.2578125,0.000452967,0.000344313
9.27734375,0.000549829,0.001175216
9.296875,0.000550221,0.001794237
9.31640625,0.000649629,0.00137909
9.3359375,0.000364756,0.000758485
9.35546875,0.000244195,0.000550831
9.375,0.000436866,0.000118953
9.39453125,0.000630645,0.001129913
9.4140625,0.000727873,0.001214257
9.43359375,0.000413861,0.000419344
9.453125,0.000130646,0.000253801
9.47265625,0.000275571,0.000130757
9.4921875,0.00014613,0.000708321
9.51171875,9.95E-05,0.001046843
9.53125,0.000194714,0.000731506
9.55078125,0.000203075,0.000280393
9.5703125,0.000110499,0.000562243
9.58984375,1.57E-05,0.00033409
9.609375,2.00E-05,0.000398026
9.62890625,0.000103219,0.000373284
9.6484375,0.000307064,0.000127594
9.66796875,0.000389608,0.000134341
9.6875,0.000265811,0.000176162
9.70703125,0.000136586,0.000205072
9.7265625,0.000116622,0.000212322
9.74609375,0.000113557,0.000206776
9.765625,2.02E-05,0.000209929
9.78515625,8.38E-05,0.000140213
9.8046875,9.19E-05,4.01E-05
9.82421875,5.45E-05,7.74E-06
9.84375,3.65E-05,1.86E-05
9.86328125,3.57E-05,6.02E-05
9.8828125,3.24E-05,7.22E-05
9.90234375,1.48E-05,4.61E-05
9.921875,6.54E-06,2.39E-05
9.94140625,1.13E-05,1.12E-05
9.9609375,5.37E-06,1.67E-06
9.98046875,1.50E-06,4.17E-06
